player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
 Ayoub Oufkir, AZ Alkmaar,Botola, RW,Morocco,,yes,Botola,20,64,2.093,,,,,
N. Amrabat, Wydad Casablanca,Botola, RW,Morocco,,yes,Botola,38,64,0.073,,,,,
 Munir, RS Berkane,Botola, GK,Morocco,,yes,Botola,36,74,0.301,,,,,
 Y. Abdelhamid, FAR Rabat,Botola, CB,Morocco,,yes,Botola,38,68,0.126,,,,,
 Hakim Ziyech, Wydad Casablanca,Botola, RW,Morocco,,yes,Botola,32,75,8.215,,,,,
 Y. Bammou, UTS Rabat,Botola, ST,Morocco,,yes,Botola,34,63,0.659,,,,,
 A. Tagnaouti, FAR Rabat,Botola, GK,Morocco,,yes,Botola,29,68,1.9,,,,,
 M. Saoud, Ittihad Tanger,Botola, CB,Morocco,,yes,Botola,30,68,1.387,,,,,
 W. Sabbar, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola,30,61,1.528,,,,,
 O. Arjoune, UTS Rabat,Botola, DM,Morocco,,yes,Botola,30,64,1.896,,,,,
 Hamza Sakhi, Wydad Casablanca,Botola, CAM,Morocco,,yes,Botola,29,71,2.604,,,,,
 K. Boutaïb, Kawkab Marrakech,Botola, ST,Morocco,,yes,Botola,38,69,0.072,,,,,
 Anas Tahiri, Maghreb Fes,Botola, CM,Morocco,,yes,Botola,30,61,1.889,,,,,
 A. Oudrhiri, Maghreb Fes,Botola, DM,Morocco,,yes,Botola,33,62,0.922,,,,,
 H. El Moussaoui, RS Berkane,Botola, LB,Morocco,,yes,Botola,32,74,2.082,,,,,
 Adil Rhaili, Maghreb Fes,Botola, CB,Morocco,,yes,Botola,34,61,0.228,,,,,
 S. Bougrine, Raja Casablanca,Botola, CAM,Morocco,,yes,Botola,29,72,3.759,,,,,
 A. Ennaffati, Raja Casablanca,Botola, LW,Morocco,,yes,Botola,31,75,3.049,,,,,
 El Houasli, UTS Rabat,Botola, GK,Morocco,,yes,Botola,41,66,0.015,,,,,
 Y. Anouar, COD Meknes,Botola, LW,Morocco,,yes,Botola,35,66,0.607,,,,,
 M. Hadhoudi, -,Botola, CB,Morocco,,yes,Botola,34,63,0.834,,,,,
 M. Fakhr, Renaissance Zemamra,Botola, GK,Morocco,,yes,Botola,37,63,0.083,,,,,
 H. Elowasti, Wydad Casablanca,Botola, LW,Morocco,,yes,Botola,30,64,2.031,,,,,
 Saad Ait Khorsa, Maghreb Fes,Botola, CB,Morocco,,yes,Botola,32,60,1.06,,,,,
 A. Nouader, COD Meknes,Botola, CB,Morocco,,yes,Botola,28,60,1.182,,,,,
 M. Kamal, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,30,61,1.446,,,,,
 A. Baadi, Raja Casablanca,Botola, RB,Morocco,,yes,Botola,29,61,1.581,,,,,
 I. Kandouss, RS Berkane,Botola, CB,Morocco,,yes,Botola,28,74,5.385,,,,,
 Khammas, Raja Casablanca,Botola, LB,Morocco,,yes,Botola,26,64,3.813,,,,,
 Anas Zniti, RS Berkane,Botola, GK,Morocco,,yes,Botola,37,70,0.504,,,,,
 M Moutouali, Renaissance Zemamra,Botola, CAM,Morocco,,yes,Botola,40,60,0.049,,,,,
 Y. Labhiri, RS Berkane,Botola, CAM,Morocco,,yes,Botola,31,76,2.594,,,,,
 El Mehdi Benabid, Wydad Casablanca,Botola, GK,Morocco,,yes,Botola,28,69,2.752,,,,,
 A. Bach, FAR Rabat,Botola, DM,Morocco,,yes,Botola,28,74,4.979,,,,,
 H. Hannouri, Wydad Casablanca,Botola, ST,Morocco,,yes,Botola,28,70,2.389,,,,,
 B. El Bahraoui, UTS Rabat,Botola, ST,Morocco,,yes,Botola,33,60,0.86,,,,,
 B. Benoun, Raja Casablanca,Botola, CB,Morocco,,yes,Botola,32,62,1.269,,,,,
 H. Kalai, Hassania Agadir,Botola, DM,Morocco,,yes,Botola,32,61,0.786,,,,,
 A. El Ouadi, UTS Rabat,Botola, LW,Morocco,,yes,Botola,33,69,1.779,,,,,
 Y. Zghoudi, Kawkab Marrakech,Botola, RW,Morocco,,yes,Botola,33,64,0.698,,,,,
 M. El Morabit, RS Berkane,Botola, CAM,Morocco,,yes,Botola,27,63,2.481,,,,,
 A. Hammoudan, FAR Rabat,Botola, LW,Morocco,,yes,Botola,34,64,1.039,,,,,
 Larbi Naji, COD Meknes,Botola, DM,Morocco,,yes,Botola,35,68,0.815,,,,,
 Al Makaazi, Raja Casablanca,Botola, CM,Morocco,,yes,Botola,31,69,1.777,,,,,
 M. Louadni, FAR Rabat,Botola, CB,Morocco,,yes,Botola,31,70,1.585,,,,,
 Y. El Filali, SCC Mohammédia,Botola, GK,Morocco,,yes,Botola,36,63,0.145,,,,,
 A. El Msane, FUS Rabat,Botola, DM,Morocco,,yes,Botola,31,71,1.663,,,,,
 Jalal Tachtach, Hassania Agadir,Botola, CM,Morocco,,yes,Botola,31,66,1.422,,,,,
 Achraf Harmach, Maghreb Fes,Botola, CM,Morocco,,yes,Botola,33,69,0.989,,,,,
 M. Rabie Hrimat, FAR Rabat,Botola, DM,Morocco,,yes,Botola,31,76,4.009,,,,,
 A. El Amloud, Raja Casablanca,Botola, RB,Morocco,,yes,Botola,31,64,1.892,,,,,
 S. El Morsli, Olympic Safi,Botola, LW,Morocco,,yes,Botola,27,69,2.353,,,,,
 Abdellah Khafifi, Raja Casablanca,Botola, CB,Morocco,,yes,Botola,33,72,1.54,,,,,
 A. Boucheta, Wydad Casablanca,Botola, LB,Morocco,,yes,Botola,32,70,1.056,,,,,
 I. Mokadem, Raja Casablanca,Botola, CB,Morocco,,yes,Botola,30,63,1.444,,,,,
 A. Khairi, RS Berkane,Botola, CM,Morocco,,yes,Botola,26,70,3.391,,,,,
 A. Aboulfath, Wydad Casablanca,Botola, CB,Morocco,,yes,Botola,28,62,1.578,,,,,
 S. El Amrani, Hassania Agadir,Botola, CB,Morocco,,yes,Botola,29,67,1.896,,,,,
 M. Lemzaouri, Difaâ El Jadida,Botola, RB,Morocco,,yes,Botola,32,60,0.701,,,,,
 I. Khafi, Raja Casablanca,Botola, ST,Morocco,,yes,Botola,30,69,2.378,,,,,
 Z. Derrag, FAR Rabat,Botola, DM,Morocco,,yes,Botola,27,69,1.872,,,,,
 A. Hadraf, FAR Rabat,Botola, CM,Morocco,,yes,Botola,27,61,1.577,,,,,
 H. Ferdaoussi, Raja Casablanca,Botola, CM,Morocco,,yes,Botola,26,60,1.917,,,,,
 R. Slim, FAR Rabat,Botola, RW,Morocco,,yes,Botola,26,60,2.733,,,,,
 Z. Kiani, Ittihad Tanger,Botola, RB,Morocco,,yes,Botola,29,67,1.743,,,,,
 A. Serrhat, FUS Rabat,Botola, DM,Morocco,,yes,Botola,29,70,2.305,,,,,
 Y. El Ghzaoui, UE Santa Coloma,Botola, CM,Morocco,,yes,Botola,25,66,2.079,,,,,
 K. Alaoui, Raja Casablanca,Botola, GK,Morocco,,yes,Botola,29,68,2.017,,,,,
 F. Abdoul Mutalib, Ittihad Tanger,Botola, DM,Morocco,,yes,Botola,32,62,0.967,,,,,
 J. Ech-Chammakh, FAR Rabat,Botola, LB,Morocco,,yes,Botola,25,68,2.635,,,,,
 K. Ait Ouarkhane, FAR Rabat,Botola, CAM,Morocco,,yes,Botola,25,69,2.704,,,,,
 A. Souane, FUS Rabat,Botola, RW,Morocco,,yes,Botola,24,70,5.059,,,,,
 H. El Mahasni, FUS Rabat,Botola, RB,Morocco,,yes,Botola,26,68,2.305,,,,,
 Al Fahli, FAR Rabat,Botola, LW,Morocco,,yes,Botola,28,73,3.602,,,,,
 A. Maher, FUS Rabat,Botola, CM,Morocco,,yes,Botola,28,63,1.45,,,,,
 M. Moufid, Wydad Casablanca,Botola, RB,Morocco,,yes,Botola,26,69,2.771,,,,,
 I. Riahi, RS Berkane,Botola, RW,Morocco,,yes,Botola,25,69,3.775,,,,,
 S. Chihab, Maghreb Fes,Botola, GK,Morocco,,yes,Botola,33,69,0.944,,,,,
 O. Lamlioui, RS Berkane,Botola, ST,Morocco,,yes,Botola,30,73,2.648,,,,,
 M. Boulacsout, Raja Casablanca,Botola, RB,Morocco,,yes,Botola,27,73,3.569,,,,,
 A. Tine, Renaissance Zemamra,Botola, RB,Morocco,,yes,Botola,33,60,0.389,,,,,
 M. Harrar, Raja Casablanca,Botola, GK,Morocco,,yes,Botola,25,69,1.795,,,,,
 A. Assal, RS Berkane,Botola, CB,Morocco,,yes,Botola,27,69,2.599,,,,,
 Zakaria Bahrou, Renaissance Zemamra,Botola, ST,Morocco,,yes,Botola,29,67,0.324,,,,,
 Y. El Motie, Olympic Safi,Botola, GK,Morocco,,yes,Botola,31,61,1.329,,,,,
 Mohamed Radouani, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola,36,60,0.072,,,,,
 H. Ait Allal, Maghreb Fes,Botola, RB,Morocco,,yes,Botola,26,61,0.968,,,,,
 A. Lamirat, Wydad Casablanca,Botola, DM,Morocco,,yes,Botola,28,69,2.534,,,,,
 Y. Mehri, RS Berkane,Botola, LW,Morocco,,yes,Botola,26,76,5.87,,,,,
 H. El Janati, Kawkab Marrakech,Botola, RW,Morocco,,yes,Botola,27,66,2.719,,,,,
 Haytam Manaout, RS Berkane,Botola, RB,Morocco,,yes,Botola,24,70,3.471,,,,,
 A. El Wafi, Wydad Casablanca,Botola, CB,Morocco,,yes,Botola,21,63,6.4,,,,,
 E. Boukhriss, RS Berkane,Botola, RB,Morocco,,yes,Botola,26,62,1.421,,,,,
 Oussama Soukhane, FUS Rabat,Botola, LB,Morocco,,yes,Botola,27,68,2.084,,,,,
 Bilal El Ouadghiri, Ittihad Tanger,Botola, CB,Morocco,,yes,Botola,24,66,2.619,,,,,
 Afsal Hamza, Maghreb Fes,Botola, CM,Morocco,,yes,Botola,29,62,1.741,,,,,
 Soufiane Benjdida, Maghreb Fes,Botola, ST,Morocco,,yes,Botola,24,64,2.019,,,,,
 S. Moussadak, Wydad Casablanca,Botola, CB,Morocco,,yes,Botola,27,61,1.613,,,,,
 M. Ashabi, Al Shorta,Botola, CB,Morocco,,yes,Botola,28,62,1.051,,,,,
 R. Ait Lemkadem, UTS Rabat,Botola, LWB,Morocco,,yes,Botola,28,62,1.295,,,,,
 F. Karmoune, Olympic Safi,Botola, RB,Morocco,,yes,Botola,29,61,0.782,,,,,
A. Hafidi, Kawkab Marrakech,Botola, LW,Morocco,,yes,Botola, 34, -,0.069,,,,,
 M. Fouzair, UTS Rabat,Botola, RW,Morocco,,yes,Botola, 34, -,0.151,,,,,
 H. Dahmani, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola, 32, -,0.001,,,,,
 Ahmed Azmi, Ittihad Tanger,Botola, GK,Morocco,,yes,Botola, 23, -,0.012,,,,,
 J. Rhabra, Ittihad Tanger,Botola, ST,Morocco,,yes,Botola, 31, -,0.053,,,,,
 H. Antara, Hassania Agadir,Botola, GK,Morocco,,yes,Botola, 19, -,0.001,,,,,
 Omar El Khattab, FAR Rabat,Botola, CB,Morocco,,yes,Botola, 19, -,0.01,,,,,
 S. Akaaba, Renaissance Zemamra,Botola, ST,Morocco,,yes,Botola, 25, -,0.001,,,,,
 Saad Lotfi, UTS Rabat,Botola, ST,Morocco,,yes,Botola, 18, -,0.001,,,,,
 Ahmed Ait Ouzogar, RS Berkane,Botola, CB,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Mounir Fouiraoui, RS Berkane,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Aymen Rahli, RS Berkane,Botola, GK,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 M. Handouz, RS Berkane,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 H. El Hainouni, RS Berkane,Botola, GK,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Omar Ouddah, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, 27, 26,0.001,,,,,
 Driss Janah, Raja Casablanca,Botola, CM,Morocco,,yes,Botola, 22, 26,0.001,,,,,
 Hicham Maayou, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Moustapha Amzil, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Khalid Raiss, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, 23, 26,0.001,,,,,
 Walid Mahrous, RS Berkane,Botola, CM,Morocco,,yes,Botola, 21, 26,0.001,,,,,
 Mohamed Tahiri, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola, 23, 26,0.001,,,,,
 Zineddine Bouyi, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Mohamed Ait Ourehbi, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola, 23, 26,0.001,,,,,
 Ahmed Zouaq, FUS Rabat,Botola, CB,Morocco,,yes,Botola, 24, 26,0.001,,,,,
 Hamza Qassouh, Kawkab Marrakech,Botola, CB,Morocco,,yes,Botola, 23, 26,0.001,,,,,
 Brahim Ben Saber, Raja Casablanca,Botola, CM,Morocco,,yes,Botola, 22, 26,0.001,,,,,
 Soufiane Benhaida, Raja Casablanca,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Abdelghafour Gourari, RS Berkane,Botola, ST,Morocco,,yes,Botola, 17, 26,0.001,,,,,
 Mohammed Hmad, UTS Rabat,Botola, CM,Morocco,,yes,Botola, 21, 26,0.001,,,,,
 Wail Benfares, COD Meknes,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Youssef El Haddad, COD Meknes,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Oussama Smaali, COD Meknes,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Badr Rachouq, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Anas Salmi, Wydad Casablanca,Botola, CB,Morocco,,yes,Botola, 21, 26,0.001,,,,,
 Aymen El Jaafary, Wydad Casablanca,Botola, GK,Morocco,,yes,Botola, 21, 26,0.001,,,,,
 Aymen Elhaou, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Othmane Boudfiri, Hassania Agadir,Botola, -,Morocco,,yes,Botola, 21, 26,0.001,,,,,
 Reda Hanane, RS Berkane,Botola, CB,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Yassir Ed-Drief, RS Berkane,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Youssef Chirra, RS Berkane,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Ayman El Ghazi, RS Berkane,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Soulaiman Arafa, Olympic Safi,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Wassim Ouarab, FUS Rabat,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Siraj Benzahra, FUS Rabat,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Aymen Mrabit, FUS Rabat,Botola, CB,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 W. El Hani, FUS Rabat,Botola, LB,Morocco,,yes,Botola, 18, 26,0.001,,,,,
 Youssef Mouktad, FUS Rabat,Botola, ST,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Soufiane Madkour, Raja Casablanca,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Anas Mahzoum, Raja Casablanca,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Ayoub Dhaimi, Raja Casablanca,Botola, GK,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 El Mehdi, Olympic Safi,Botola, GK,Morocco,,yes,Botola, -, 26,0.001,,,,,
 El Houcine Chmamri, Wydad Casablanca,Botola, CB,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Oussama Rafik, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Azelaarab Bdaa, Wydad Casablanca,Botola, GK,Morocco,,yes,Botola, 19, 26,0.001,,,,,
 Ilyass Boudarga, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, 20, 26,0.001,,,,,
 Hamza Jdiya, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Sofiane El Moutaouakkel, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Mohamed Lbjaoui, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, 19, 26,0.001,,,,,
 Najib Ait Ihia, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Abderrahman Habib Rabi, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola, 17, 26,0.001,,,,,
 Abdullah Hachloufi, RS Berkane,Botola, CB,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Ahmed Naiba, UTS Rabat,Botola, CM,Morocco,,yes,Botola, 22, 26,0.001,,,,,
 Issam Bouali, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Sami Zagdouni, COD Meknes,Botola, ST,Morocco,,yes,Botola, -, 26,0.001,,,,,
 Mrabet, Ittihad Tanger,Botola, -,Morocco,,yes,Botola, -, -,0.001,,,,,
 Mohamed Makaassi, Raja Casablanca,Botola, -,Morocco,,yes,Botola, -, -,0.001,,,,,
 Anas Mkhair, Olympic Safi,Botola, CM,Morocco,,yes,Botola, 23, 26,0.005,,,,,
 A. Sahnoune, Hassania Agadir,Botola, CB,Morocco,,yes,Botola, 19, -,0.0,,,,,
 E. Eclides, Hassania Agadir,Botola, -,Morocco,,yes,Botola, -, -,0.0,,,,,
 S. El Lamrany, Hassania Agadir,Botola, CB,Morocco,,yes,Botola, 29, -,0.0,,,,,
 Anass Mostakime, Difaâ El Jadida,Botola, -,Morocco,,yes,Botola, 22, -,0.001,,,,,
 Anass Mostakim, Difaâ El Jadida,Botola, CM,Morocco,,yes,Botola, 22, 26,0.001,,,,,
 El Abdi, Kawkab Marrakech,Botola, -,Morocco,,yes,Botola, -, -,0.0,,,,,
 Yahya Iguiz, Raja Casablanca,Botola, ST,Morocco,,yes,Botola, 17, -,0.001,,,,,
 Aymen Riyane, Difaâ El Jadida,Botola, CB,Morocco,,yes,Botola, -, -,0.0,,,,,
 Akram Tali, Ittihad Tanger,Botola, CM,Morocco,,yes,Botola, -, -,0.0,,,,,
 N. Tahiri, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola, -, -,0.0,,,,,
 S. Akaba, Renaissance Zemamra,Botola, -,Morocco,,yes,Botola, -, -,0.0,,,,,
 Saad Karouat, Ittihad Tanger,Botola, CB,Morocco,,yes,Botola, -, -,0.0,,,,,
 M. El Handouz, RS Berkane,Botola, -,Morocco,,yes,Botola, -, -,0.0,,,,,
Ilias Boumassaoudi,Morocco U20,U20 International,LW,Morocco,,yes,U20,,,,33.0,-,-,,
Smail Bakhty,Morocco U20,U20 International,CB,Morocco,,yes,U20,,,,99.0,-,-,,
Fouad Zahouani,Morocco U20,U20 International,LB,Morocco,,yes,U20,,,,99.0,-,-,,
Gessime Yassine,Morocco U20,U20 International,RW,Morocco,,yes,U20,,,,88.0,1,1,,
Naim Byar,Morocco U20,U20 International,CM,Morocco,,yes,U20,,,,11.0,-,-,,
Ismaël Baouf,Morocco U20,U20 International,CB,Morocco,,yes,U20,,,,99.0,-,-,,
Yanis Benchaouch,Morocco U20,U20 International,GK,Morocco,,yes,U20,,,,99.0,-,-,,
Othmane Maamma,Morocco U20,U20 International,RW,Morocco,,yes,U20,,,,75.0,-,1,,
Yassine Khalifi,Morocco U20,U20 International,CM,Morocco,,yes,U20,,,,88.0,-,-,,
Ali Maamar,Morocco U20,U20 International,RB,Morocco,,yes,U20,,,,99.0,-,-,,
Anas Tajaouart,Morocco U20,U20 International,CM,Morocco,,yes,U20,,,,24.0,-,-,,
Saad El Haddad,Morocco U20,U20 International,CAM,Morocco,,yes,U20,,,,75.0,-,-,,
Taha Majni,Morocco U20,U20 International,CB,Morocco,,yes,U20,,,,11.0,-,-,,
Hossam Essadak,Morocco U20,U20 International,CM,Morocco,,yes,U20,,,,99.0,-,-,,
Younes El Bahraoui,Morocco U20,U20 International,ST,Morocco,,yes,U20,,,,24.0,-,-,,
Mohammed Hamony,Morocco U20,U20 International,LW,Morocco,,yes,U20,,,,36.0,-,-,,
Ilyass Mahsoub,Morocco U20,U20 International,RB,Morocco,,yes,U20,,,,99.0,-,-,,
Ibrahim Gomis,Morocco U20,U20 International,GK,Morocco,,yes,U20,,,,99.0,-,-,,
Mohammed Kebdani,Morocco U20,U20 International,CB,Morocco,,yes,U20,,,,77.0,-,-,,
Hakim Mesbahi,Morocco U20,U20 International,GK,Morocco,,yes,U20,,,,1.0,-,-,,
Bono,Morocco,AFCON,GK,Morocco,,yes,AFCON,,,,,,,0.0,-
Adam Masina,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Noussair Mazraoui,Morocco,AFCON,RB,Morocco,,yes,AFCON,,,,,,,0.0,-
Nayef Aguerd,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.39,2
Achraf Hakimi,Morocco,AFCON,RB,Morocco,,yes,AFCON,,,,,,,0.0,1
Jawad El Yamiq,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.46,2
Youssef En-Nesyri,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.05,1
Anass Salah-Eddine,Morocco,AFCON,LB,Morocco,,yes,AFCON,,,,,,,0.0,-
Ayoub El Kaabi,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.35,2
Oussama Targhalline,Morocco,AFCON,DM,Morocco,,yes,AFCON,,,,,,,0.0,-
Ilias Akhomach,Morocco,AFCON,RW,Morocco,,yes,AFCON,,,,,,,0.07,1
Ismael Saibari,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.09,3
Bilal El Khannouss,Morocco,AFCON,CAM,Morocco,,yes,AFCON,,,,,,,0.0,-
Ez Abde,Morocco,AFCON,LW,Morocco,,yes,AFCON,,,,,,,0.3,3
Hamza Igamane,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.0,-
Neil El Aynaoui,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.17,2
Alex Iwobi,Morocco,AFCON,LW,Morocco,,yes,AFCON,,,,,,,0.0,-
Semi Ajayi,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Paul Onuachu,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.0,-
Moses Simon,Morocco,AFCON,LW,Morocco,,yes,AFCON,,,,,,,0.0,-
Bright Osayi-Samuel,Morocco,AFCON,RB,Morocco,,yes,AFCON,,,,,,,0.0,-
Samuel Chukwueze,Morocco,AFCON,RW,Morocco,,yes,AFCON,,,,,,,0.0,-
Victor Osimhen,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.0,-
Ademola Lookman,Morocco,AFCON,CAM,Morocco,,yes,AFCON,,,,,,,0.01,1
Frank Onyeka,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.0,-
Fisayo Dele-Bashiru,Morocco,AFCON,CAM,Morocco,,yes,AFCON,,,,,,,0.0,-
Calvin Bassey,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Akor Adams,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.0,-
B. Onyemaechi,Morocco,AFCON,LB,Morocco,,yes,AFCON,,,,,,,0.0,-
Raphael Onyedika,Morocco,AFCON,DM,Morocco,,yes,AFCON,,,,,,,0.04,1
Stanley Nwabali,Morocco,AFCON,GK,Morocco,,yes,AFCON,,,,,,,0.0,-
Eliesse Ben Seghir,Morocco,AFCON,LW,Morocco,,yes,AFCON,,,,,,,0.0,-
Sofyan Amrabat,Morocco,AFCON,DM,Morocco,,yes,AFCON,,,,,,,0.0,-
Soufiane Rahimi,Morocco,AFCON,LW,Morocco,,yes,AFCON,,,,,,,0.0,-
Romain Saïss,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Azzedine Ounahi,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.03,1
Lassana Coulibaly,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.03,1
Djigui Diarra,Morocco,AFCON,GK,Morocco,,yes,AFCON,,,,,,,0.0,-
Yves Bissouma,Morocco,AFCON,DM,Morocco,,yes,AFCON,,,,,,,0.0,-
Aliou Dieng,Morocco,AFCON,DM,Morocco,,yes,AFCON,,,,,,,0.0,-
Woyo Coulibaly,Morocco,AFCON,RB,Morocco,,yes,AFCON,,,,,,,0.0,-
Abdoulaye Diaby,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Lassine Sinayoko,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.76,2
El Touré,Morocco,AFCON,ST,Morocco,,yes,AFCON,,,,,,,0.0,-
Nene Dorgeles,Morocco,AFCON,RW,Morocco,,yes,AFCON,,,,,,,0.0,-
Nathan Gassama,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Mamadou Sangare,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.0,1
Ousmane Camara,Morocco,AFCON,CB,Morocco,,yes,AFCON,,,,,,,0.0,-
Kamory Doumbia,Morocco,AFCON,CAM,Morocco,,yes,AFCON,,,,,,,0.0,-
Mahamadou Doumbia,Morocco,AFCON,CM,Morocco,,yes,AFCON,,,,,,,0.0,-
Gaoussou Diarra,Morocco,AFCON,LW,Morocco,,yes,AFCON,,,,,,,0.0,1
Chemsdine Talbi,Morocco,AFCON,RW,Morocco,,yes,AFCON,,,,,,,0.0,-
Mohamed Chibi,Morocco,AFCON,RB,Morocco,,yes,AFCON,,,,,,,0.0,-
